Variables in Fontenla Model 1001
Height, cm        Temperature, K    Electron density  Proton density    Hydrogen density  Gas pressure     
2.04e+08          2.00e+05          4.51e+09          3.81e+09          3.81e+09          6.70e-01          
2.01e+08          1.75e+05          5.17e+09          4.36e+09          4.36e+09          6.71e-01          
1.99e+08          1.52e+05          5.96e+09          5.03e+09          5.03e+09          6.73e-01          
1.98e+08          1.32e+05          6.86e+09          5.80e+09          5.80e+09          6.74e-01          
1.97e+08          1.15e+05          7.89e+09          6.69e+09          6.69e+09          6.75e-01          
1.96e+08          9.99e+04          9.05e+09          7.74e+09          7.74e+09          6.77e-01          
1.96e+08          9.55e+04          9.45e+09          8.12e+09          8.12e+09          6.77e-01          
1.96e+08          9.07e+04          9.92e+09          8.58e+09          8.58e+09          6.78e-01          
1.95e+08          8.38e+04          1.07e+10          9.35e+09          9.35e+09          6.80e-01          
1.95e+08          7.58e+04          1.17e+10          1.04e+10          1.04e+10          6.82e-01          
1.95e+08          7.13e+04          1.24e+10          1.12e+10          1.12e+10          6.83e-01          
1.95e+08          6.61e+04          1.33e+10          1.21e+10          1.21e+10          6.85e-01          
1.94e+08          6.01e+04          1.46e+10          1.33e+10          1.33e+10          6.86e-01          
1.94e+08          5.32e+04          1.65e+10          1.51e+10          1.51e+10          6.86e-01          
1.94e+08          4.93e+04          1.78e+10          1.63e+10          1.63e+10          6.87e-01          
1.94e+08          4.53e+04          1.94e+10          1.78e+10          1.78e+10          6.87e-01          
1.94e+08          4.11e+04          2.14e+10          1.96e+10          1.96e+10          6.88e-01          
1.93e+08          3.65e+04          2.41e+10          2.21e+10          2.21e+10          6.88e-01          
1.93e+08          3.21e+04          2.74e+10          2.52e+10          2.52e+10          6.89e-01          
1.93e+08          2.79e+04          3.14e+10          2.90e+10          2.91e+10          6.89e-01          
1.93e+08          2.40e+04          3.62e+10          3.37e+10          3.43e+10          6.90e-01          
1.93e+08          2.03e+04          4.12e+10          3.99e+10          4.19e+10          6.91e-01          
1.92e+08          1.78e+04          4.53e+10          4.48e+10          4.94e+10          6.88e-01          
1.92e+08          1.62e+04          4.84e+10          4.82e+10          5.60e+10          6.82e-01          
1.92e+08          1.44e+04          5.19e+10          5.17e+10          6.53e+10          6.74e-01          
1.92e+08          1.30e+04          5.45e+10          5.44e+10          7.58e+10          6.63e-01          
1.92e+08          1.16e+04          5.64e+10          5.63e+10          9.00e+10          6.49e-01          
1.91e+08          1.06e+04          5.74e+10          5.73e+10          1.04e+11          6.37e-01          
1.91e+08          9.70e+03          5.81e+10          5.80e+10          1.18e+11          6.26e-01          
1.91e+08          9.16e+03          5.86e+10          5.84e+10          1.28e+11          6.20e-01          
1.91e+08          8.72e+03          5.90e+10          5.89e+10          1.38e+11          6.15e-01          
1.91e+08          8.32e+03          5.97e+10          5.96e+10          1.47e+11          6.11e-01          
1.91e+08          8.02e+03          6.03e+10          6.02e+10          1.54e+11          6.09e-01          
1.90e+08          7.65e+03          6.11e+10          6.09e+10          1.65e+11          6.06e-01          
1.90e+08          7.25e+03          6.22e+10          6.21e+10          1.77e+11          6.04e-01          
1.90e+08          6.85e+03          6.38e+10          6.37e+10          1.91e+11          6.02e-01          
1.90e+08          6.80e+03          6.29e+10          6.28e+10          1.95e+11          6.01e-01          
1.90e+08          6.75e+03          6.10e+10          6.09e+10          2.01e+11          6.01e-01          
1.89e+08          6.63e+03          6.03e+10          6.01e+10          2.10e+11          6.04e-01          
1.87e+08          6.48e+03          5.86e+10          5.85e+10          2.41e+11          6.41e-01          
1.83e+08          6.38e+03          5.70e+10          5.69e+10          3.09e+11          7.46e-01          
1.70e+08          6.35e+03          6.64e+10          6.62e+10          5.89e+11          1.26e+00          
1.58e+08          6.34e+03          7.64e+10          7.61e+10          1.09e+12          2.17e+00          
1.46e+08          6.31e+03          8.40e+10          8.36e+10          2.07e+12          3.90e+00          
1.34e+08          6.28e+03          9.31e+10          9.24e+10          3.82e+12          6.94e+00          
1.24e+08          6.18e+03          1.00e+11          9.93e+10          6.52e+12          1.15e+01          
1.15e+08          6.16e+03          1.19e+11          1.17e+11          1.04e+13          1.81e+01          
1.06e+08          6.06e+03          1.27e+11          1.25e+11          1.65e+13          2.80e+01          
1.00e+08          5.93e+03          1.22e+11          1.18e+11          2.37e+13          3.92e+01          
9.60e+07          5.70e+03          9.42e+10          8.95e+10          3.07e+13          4.86e+01          
9.30e+07          5.26e+03          6.23e+10          5.64e+10          3.95e+13          5.76e+01          
9.10e+07          4.90e+03          5.20e+10          4.48e+10          4.81e+13          6.52e+01          
8.85e+07          4.46e+03          4.67e+10          3.71e+10          6.25e+13          7.71e+01          
8.70e+07          4.16e+03          4.51e+10          3.29e+10          7.49e+13          8.61e+01          
8.60e+07          4.03e+03          4.41e+10          3.03e+10          8.37e+13          9.32e+01          
8.50e+07          3.94e+03          4.34e+10          2.78e+10          9.31e+13          1.01e+02          
8.30e+07          3.84e+03          4.23e+10          2.38e+10          1.14e+14          1.21e+02          
8.00e+07          3.79e+03          4.14e+10          1.88e+10          1.54e+14          1.61e+02          
7.70e+07          3.82e+03          4.17e+10          1.46e+10          2.05e+14          2.16e+02          
